5101079251:13:R:17, icmp_recv_TOTAL:136
5101122787:2:R:17, icmp_sent_TOTAL:81
5101124699:2:R:17, icmp_recv_TOTAL:72
5101137305:8:R:17, icmp_sent_TOTAL:74
5101139328:8:R:17, icmp_recv_TOTAL:116
5101235016:4:R:17, icmp_sent_TOTAL:98
5101236927:4:R:17, icmp_recv_TOTAL:91
5101276505:1:R:17, TOTAL_icmp_sent:12
5101278527:1:R:17, TOTAL_icmp_recv:249
5101288428:9:R:17, icmp_sent_TOTAL:75
5101290452:9:R:17, icmp_recv_TOTAL:115
5101444255:12:R:17, icmp_sent_TOTAL:71
5101446279:12:R:17, icmp_recv_TOTAL:150
5101595145:11:R:17, icmp_sent_TOTAL:77
5101597056:11:R:17, icmp_recv_TOTAL:66
5101601881:6:R:17, icmp_sent_TOTAL:134
5101603904:6:R:17, icmp_recv_TOTAL:110
5101786110:3:R:17, icmp_sent_TOTAL:119
5101788133:3:R:17, icmp_recv_TOTAL:107
5400959538:10:R:18, icmp_sent_TOTAL:149
5400961561:10:R:18, icmp_recv_TOTAL:141
5401077237:13:R:18, icmp_sent_TOTAL:173
5401079260:13:R:18, icmp_recv_TOTAL:142
5401122775:2:R:18, icmp_sent_TOTAL:84
5401124686:2:R:18, icmp_recv_TOTAL:75
5401137321:8:R:18, icmp_sent_TOTAL:78
5401139345:8:R:18, icmp_recv_TOTAL:119
5401235126:4:R:18, icmp_sent_TOTAL:102
5401237037:4:R:18, icmp_recv_TOTAL:94
5401276503:1:R:18, TOTAL_icmp_sent:12
5401278526:1:R:18, TOTAL_icmp_recv:259
5401288434:9:R:18, icmp_sent_TOTAL:80
5401290458:9:R:18, icmp_recv_TOTAL:119
5401443146:12:R:18, icmp_sent_TOTAL:75
5401445169:12:R:18, icmp_recv_TOTAL:155
5401595132:11:R:18, icmp_sent_TOTAL:80
5401597043:11:R:18, icmp_recv_TOTAL:68
5401601889:6:R:18, icmp_sent_TOTAL:140
5401603912:6:R:18, icmp_recv_TOTAL:113
5401786118:3:R:18, icmp_sent_TOTAL:123
5401788141:3:R:18, icmp_recv_TOTAL:111
5700959540:10:R:19, icmp_sent_TOTAL:154
5700961563:10:R:19, icmp_recv_TOTAL:144
5701077230:13:R:19, icmp_sent_TOTAL:180
5701079253:13:R:19, icmp_recv_TOTAL:146
5701122778:2:R:19, icmp_sent_TOTAL:87
5701124689:2:R:19, icmp_recv_TOTAL:77
5701137304:8:R:19, icmp_sent_TOTAL:81
5701139327:8:R:19, icmp_recv_TOTAL:123
5701235128:4:R:19, icmp_sent_TOTAL:107
5701237039:4:R:19, icmp_recv_TOTAL:97
5701276495:1:R:19, TOTAL_icmp_sent:12
5701278518:1:R:19, TOTAL_icmp_recv:266
5701288418:9:R:19, icmp_sent_TOTAL:82
5701290441:9:R:19, icmp_recv_TOTAL:121
5701443139:12:R:19, icmp_sent_TOTAL:79
5701445161:12:R:19, icmp_recv_TOTAL:160
5701595135:11:R:19, icmp_sent_TOTAL:83
5701597046:11:R:19, icmp_recv_TOTAL:71
5701601881:6:R:19, icmp_sent_TOTAL:145
5701603905:6:R:19, icmp_recv_TOTAL:116
5701786100:3:R:19, icmp_sent_TOTAL:127
5701788123:3:R:19, icmp_recv_TOTAL:116
6000959557:10:R:20, icmp_sent_TOTAL:161
6000961580:10:R:20, icmp_recv_TOTAL:148
6001077229:13:R:20, icmp_sent_TOTAL:186
6001079252:13:R:20, icmp_recv_TOTAL:151
6001122787:2:R:20, icmp_sent_TOTAL:91
6001124697:2:R:20, icmp_recv_TOTAL:81
6001137322:8:R:20, icmp_sent_TOTAL:85
6001139345:8:R:20, icmp_recv_TOTAL:130
6001235147:4:R:20, icmp_sent_TOTAL:112
6001237169:4:R:20, icmp_recv_TOTAL:100
6001275806:1:SINK: Round: 20
6001277717:1:R:20, TOTAL_icmp_sent:13
6001279740:1:R:20, TOTAL_icmp_recv:278
6001288436:9:R:20, icmp_sent_TOTAL:86
6001290459:9:R:20, icmp_recv_TOTAL:128
6001443137:12:R:20, icmp_sent_TOTAL:82
6001445159:12:R:20, icmp_recv_TOTAL:168
6001595153:11:R:20, icmp_sent_TOTAL:87
6001597064:11:R:20, icmp_recv_TOTAL:75
6001601891:6:R:20, icmp_sent_TOTAL:153
6001603913:6:R:20, icmp_recv_TOTAL:123
6001786129:3:R:20, icmp_sent_TOTAL:135
6001788151:3:R:20, icmp_recv_TOTAL:122
6300959536:10:R:21, icmp_sent_TOTAL:169
6300961559:10:R:21, icmp_recv_TOTAL:154
6301077237:13:R:21, icmp_sent_TOTAL:195
6301079261:13:R:21, icmp_recv_TOTAL:157
6301122778:2:R:21, icmp_sent_TOTAL:96
6301124688:2:R:21, icmp_recv_TOTAL:83
6301137321:8:R:21, icmp_sent_TOTAL:89
6301139344:8:R:21, icmp_recv_TOTAL:135
6301235126:4:R:21, icmp_sent_TOTAL:116
6301237148:4:R:21, icmp_recv_TOTAL:104
6301276502:1:R:21, TOTAL_icmp_sent:13
6301278526:1:R:21, TOTAL_icmp_recv:290
6301288425:9:R:21, icmp_sent_TOTAL:90
6301290448:9:R:21, icmp_recv_TOTAL:134
6301443144:12:R:21, icmp_sent_TOTAL:86
6301445167:12:R:21, icmp_recv_TOTAL:175
6301595132:11:R:21, icmp_sent_TOTAL:91
6301597044:11:R:21, icmp_recv_TOTAL:77
6301601887:6:R:21, icmp_sent_TOTAL:160
